Name,Size,Type,Alignment,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,SavingThrows,Skills,WRI,Senses,Languages,CR,Additional,Font,AdditionalInfo,Author
Hippogriff,Large,monstrosity,unaligned,11,19,"40 ft., fly 60 ft.",17,13,13,2,12,8,,Perception,,Normal,,1,Keen Sight,Monster Manual,,Wizards of the Coast
Hobgoblin,Medium,humanoid,lawful evil,18,11,30 ft.,13,12,12,10,10,9,,,,Darkvision 60,"Common, Goblin",1/2,Martial Advantage,Monster Manual,,Wizards of the Coast
Hobgoblin Captain,Medium,humanoid,lawful evil,17,39,30 ft.,15,14,14,12,10,13,,,,Darkvision 60,"Common, Goblin",3,Martial Advantage,Monster Manual,,Wizards of the Coast
Hobgoblin Devastator,Medium,humanoid (goblinoid),lawful evil,13,45,30 ft.,13,12,14,16,13,11,,Arcana,,Darkvision 60,"Common, Goblin",4,"Arcane Advantage, Army Arcana, Normal Spellcasting",Volo's Guide to Monsters,,Wizards of the Coast
Hobgoblin Iron Shadow,Medium,humanoid (goblinoid),lawful evil,15,32,40 ft.,14,16,15,14,15,11,,"Acrobatics, Athletics, Stealth",,Darkvision 60,"Common, Goblin",2,"Normal Spellcasting, Unarmored Defense",Volo's Guide to Monsters,,Wizards of the Coast
Hobgoblin Warlord,Medium,humanoid,lawful evil,20,97,30 ft.,16,14,16,14,11,15,"Int, Wis, Cha",,,Darkvision 60,"Common, Goblin",6,Martial Advantage,Monster Manual,,Wizards of the Coast
Homunculus,Tiny,construct,neutral,13,5,"20 ft., fly 40 ft.",4,15,11,10,10,7,,,"Poisonimmu, charmedimmu, poisonedimmu",Darkvision 60,Creator,0,Telepathic Bond,Monster Manual,,Wizards of the Coast
Hook Horror,Large,monstrosity,neutral,15,75,"30 ft., climb 30 ft.",18,10,15,6,12,7,,Perception,,"Blindsight 60, darkvision 10",,3,"Echolocation, Keen Hearing",Monster Manual,,Wizards of the Coast
Howler,Large,fiend,chotic evil,16,90,40 ft.,17,16,15,5,20,6,,Perception,"Coldres, fireres, lightningres, nonmagicalres, frightenedimmu",Darkvision 60,Abyssal,8,Pack Tactics,Mordenkainen's Tome of Foes,,Wizards of the Coast
Howling Hatred Initiate,Medium,humanoid (human),neutral evil,13,9,30 ft.,10,15,10,10,9,11,,"Deception, Religion, Stealth",,Normal,Common,1/8,"Guiding Wind, Hold Breath",Princes of the Apocalypse,,Wizards of the Coast
Howling Hatred Priest,Medium,humanoid (human),neutral evil,15,45,30 ft.,12,16,10,14,10,14,,"Acrobatics, Intimidation, Religion",,Normal,"Auran, Common",2,"Hold Breath, Normal Spellcasting",Princes of the Apocalypse,,Wizards of the Coast
"Howling Hatred, Feathergale Knight",Medium,humanoid (human),lawful evil,16,33,30 ft.,14,14,12,11,10,14,,"Animal Handling, History",,Normal,"Auran, Common",1,Normal Spellcasting,Princes of the Apocalypse,,Wizards of the Coast
"Howling Hatred, Hurricane",Medium,humanoid (human),lawful evil,14,33,45 ft.,12,16,13,10,12,10,,Acrobatics,,Normal,"Auran, Common",2,"Normal Spellcasting, Unarmored Defense, Unarmored Movement",Princes of the Apocalypse,,Wizards of the Coast
"Howling Hatred, Skyweaver",Medium,humanoid (human),chotic evil,12,44,30 ft.,8,14,12,11,10,16,,"Deception, Persuasion",,Normal,"Auran, Common",3,Normal Spellcasting,Princes of the Apocalypse,,Wizards of the Coast
Hulking Crab,Huge,beast,unaligned,17,76,"20 ft., swim 30 ft.",19,8,16,3,11,3,,Stealth,,Blindsight 30,,5,"Amphibious, Shell Camouflage",Storm King's Thunder,,Wizards of the Coast
Hydra,Huge,monstrosity,unaligned,15,172,"30 ft., swim 30 ft.",20,12,20,2,10,7,,Perception,,Darkvision 60,,8,"Hold Breath, Multiple Heads, Reactive Heads, Wakeful",Monster Manual,,Wizards of the Coast
Ice Toad,Medium,monstrosity,neutral,12,32,"30 ft., swim 30 ft.",13,10,14,8,10,6,,Perception,Coldimmu,Darkvision 60,Own,1,"Amphibious, Cold Aura, Standing Leap",Rise of Tiamat,,Wizards of the Coast
"Inevitable, Marut",Large,construct,lawful neutral,22,432,"40 ft., fly 30 ft.",28,12,26,19,15,18,"Int, Wis, Cha","Insight, Intimidation, Perception","Thunderres, nonmagicalres, poisonimmu, charmedimmu, frightenedimmu, paralyzedimmu, poisonedimmu, unconsciousimmu",Darkvision 60,All,25,"Immutable Form, Innate Spellcasting, Legendary Resistance, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
Intellect Devourer,Tiny,aberration,lawful evil,12,21,40 ft.,6,14,13,12,11,10,,"Perception, Stealth","Nonmagicalres, blindedimmu",Blindsight 60,"Deep Speech, telepathy 60",2,Detect Sentience,Monster Manual,,Wizards of the Coast
Invisible Stalker,Medium,elemental,neutral,14,104,"50 ft., fly 50 ft.",16,19,14,10,15,11,,"Perception, Stealth","Nonmagicalres, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconscious",Darkvision 60,"Auran, Common",6,"Invisibility, Faultless Tracker",Monster Manual,,Wizards of the Coast
Ixitxachitl,Small,aberration,chotic evil,15,18,swim 30 ft.,12,16,13,12,13,7,,,,Darkvision 60,"Abyssal, Own",1/4,,Out of the Abyss,,Wizards of the Coast
"Ixitxachitl, Vampiric",Medium,aberration,chotic evil,16,44,swim 30 ft.,14,18,13,12,13,7,,,,Darkvision 60,"Abyssal, Own",2,Regeneration,Out of the Abyss,,Wizards of the Coast
Jackalwere,Medium,humanoid,chotic evil,12,18,40 ft.,11,15,11,13,11,10,,"Deception, Perception, Stealth","Nonmagicalimmu, nonsilveredimmu",Normal,Common,1/2,"Shapechanger, Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
Jaculi,Large,beast,unaligned,14,16,"30 ft., climb 20 ft.",15,14,11,2,8,3,,"Athletics, Perception, Stealth",,Blindsight 30,,1/2,"Camouflage, Keen Smell",Tomb of Annihilation,,Wizards of the Coast
Kalka-Kylla,Large,monstrosity,neutral,15,85,"30 ft., swim 30 ft.",17,12,16,15,16,12,,"Deception, Insight, Stealth",,Blindsight 30,Olman,3,"Amphibious, False Appearance, Shell",Tales from the Yawning Portal,,Wizards of the Coast
Kamadan,Large,monstrosity,unaligned,13,67,30 ft.,16,16,14,3,14,10,,"Perception, Stealth",,Normal,,4,"Keen Smell, Pounce",Tomb of Annihilation,,Wizards of the Coast
Kelpie,Medium,plant,neutral evil,14,67,"10 ft., swim 30 ft.",14,14,16,7,12,10,,"Perception, Stealth","Bludgeoningres, fireres, piercingres, blindedimmu, deafenedimmu, exhaustionimmu",Blindsight 60,"Common, Sylvan",4,"Amphibious, Seaweed Shape, False Appearance",Tales from the Yawning Portal,,Wizards of the Coast
Kenku,Medium,humanoid,chaotic neutral,13,13,30 ft.,10,16,10,11,10,10,,"Deception, Perception, Stealth",,Normal,"Auran, Common",1/4,"Ambusher, Mimicry",Monster Manual,,Wizards of the Coast
Ki-Rin,Huge,celestial,lawful good,20,152,"60 ft., fly 120 ft.",21,16,16,19,20,20,,"Perception, Insight, Religion","Poisonimmu, poisonedimmu","Blindsight 30, darkvision 120","All, telepathy 120",12,"Innate Spellcasting, Legendary Resistance, lair, Magic Resistance, Magic Weapons, Normal Spellcasting",Volo's Guide to Monsters,,Wizards of the Coast
Kobold,Small,humanoid,lawful evil,12,5,30 ft.,7,15,9,8,7,8,,,,Darkvision 60,"Common, Draconic",1/8,"Sunlight Sensitivity, Pack Tactics",Monster Manual,,Wizards of the Coast
Kobold Dragonshield,Small,humanoid (kobold),lawful evil,15,44,20 ft.,12,15,14,8,9,10,,Perception,"Acidres, coldres, fireres, lightningres, poisonres",Darkvision 60,"Common, Draconic",1,"Dragon's Resistance, Heart of the Dragon, Pack Tactics, Sunlight Sensitivity",Volo's Guide to Monsters,,Wizards of the Coast
Kobold Inventor,Small,humanoid (kobold),lawful evil,12,13,30 ft.,7,15,12,8,7,8,,Perception,,Darkvision 60,"Common, Draconic",1/4,"Pack Tactics, Sunlight Sensitivity",Volo's Guide to Monsters,,Wizards of the Coast
Kobold Scale Sorcerer,Small,humanoid (kobold),lawful evil,15,27,30 ft.,7,15,14,10,9,14,,"Arcana, Medicine",,Darkvision 60,"COmmon, Draconic",1,"Normal Spellcasting, Sorcery Points, Pack Tactics, Sunlight Sensitivity",Volo's Guide to Monsters,,Wizards of the Coast
"Kobold, Winged",Small,humanoid,lawful evil,13,7,"30 ft., fly 30 ft.",7,16,9,8,7,8,,,,Darkvision 60,"Common, Draconic",1/4,"Sunlight Sensitivity, Pack Tactics",Monster Manual,,Wizards of the Coast
Korred,Small,fey,chaotic neutral,17,102,"30 ft., burrow 30 ft.",23,14,20,10,15,9,,"Athletics, Perception, Stealth",Nonmagicalres,"Darkvision 120, tremorsense 120","Dwarvish, Gnomish, Sylvan, Terran, Undercommon",7,"Command Hair, Innate Spellcasting, Stone Camouflage, Stone's Strength",Volo's Guide to Monsters,,Wizards of the Coast
Kraken,Gargantuan,monstrosity,chotic evil,18,472,"20 ft., swim 60 ft.",30,11,25,22,18,20,"Str, Dex, Con, Int, Wis",,"Lightningimmu, nonmagicalimmu, frightenedimmu, paralyzedimmu",Truesight 120,"Abyssal, Celestial, Infernal, Primordial, telepathy 120",23,"Amphibious, Freedom of Movement, Siege Monster, Lair, Legendary",Monster Manual,,Wizards of the Coast
"Kraken, Malformed",Huge,monstrosity,chotic evil,17,172,"20 ft., swim 40 ft.",25,11,20,11,15,15,"Str, Con, Int, Wis, Cha",,"Nonmagicalres, lightningimmu, frightenedimmu, paralyzedimmu",Truesight 60,"Common, telepathy 60",10,"Amphibious, Siege Monster",Tales from the Yawning Portal,,Wizards of the Coast
Kruthik Hive Lord,Large,monstrosity,unaligned,20,102,"40 ft., burrow 20 ft., climb 40 ft.",19,16,17,10,14,10,,,,"Darkvision 60, tremorsense 60",Own,5,"Keen Smell, Pack Tactics, Tunneler",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Kruthik, Adult",Medium,monstrosity,unaligned,18,39,"40 ft., burrow 20 ft., climb 40 ft.",15,16,15,7,12,8,,,,"Darkvision 60, tremorsense 60",Own,2,"Keen Smell, Pack Tactics, Tunneler",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Kruthik, Young",Small,monstrosity,unaligned,16,9,"30 ft., burrow 10 ft., climb 30 ft.",13,16,13,4,10,6,,,,"Darkvision 30, tremorsense 60",Own,1/8,"Keen Smell, Pack Tactics, Tunneler",Mordenkainen's Tome of Foes,,Wizards of the Coast
Kuo-Toa,Medium,humanoid,neutral evil,13,13,"30 ft., swim 30 ft.",13,10,11,11,10,8,,Perception,,Darkvision 120,Undercommon,1/4,"Amphibious, Otherworldly Perception, Slippery, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Kuo-Toa Archpriest,Medium,humanoid,neutral evil,13,97,"30 ft., swim 30 ft.",16,14,16,13,16,14,,"Perception, Religion",,Darkvision 120,Undercommon,6,"Amphibious, Otherworldly Perception, Slippery, Sunlight Sensitivity, Normal Spellcasting",Monster Manual,,Wizards of the Coast
Kuo-Toa Whip,Medium,humanoid,neutral evil,11,65,"30 ft., swim 30 ft.",14,10,14,12,14,11,,"Perception, Religion",,Darkvision 120,Undercommon,1,"Amphibious, Otherworldly Perception, Slippery, Sunlight Sensitivity, Normal Spellcasting",Monster Manual,,Wizards of the Coast
Lamia,Large,monstrosity,chotic evil,13,97,30 ft.,16,13,15,14,15,16,,"Deception, Insight, Stealth",,Darkvision 60,"Abyssal, Common",4,Innate Spellcasting,Monster Manual,,Wizards of the Coast
Leucrotta,Large,monstrosity,chotic evil,14,67,50 ft.,18,14,15,9,12,6,,"Deception, Perception",,Darkvision 60,"Abyssal, Gnoll",3,"Keen Smell, Kicking Retreat, Mimicry, Rampage",Volo's Guide to Monsters,,Wizards of the Coast
Lich,Medium,undead,ANY EVIL,17,135,30 ft.,11,16,16,20,14,16,"Con, Int, Wis","Arcana, History, Insight, Perception","Coldres, lightningres, necroticres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Truesight 120,"Common, Any",21,"Legendary, Rejuvenation, Normal Spellcasting, Turn Resistance, Lair",Monster Manual,,Wizards of the Coast
Lizard King/Queen,Medium,humanoid,chotic evil,15,78,"30 ft., swim 30 ft.",17,12,15,11,11,15,"Con, Wis","Perception, Stealth, Survival",Frightenedimmu,Darkvision 60,"Abyssal, Draconic",4,"Hold Breath, Skewer",Monster Manual,,Wizards of the Coast
Lizardfolk,Medium,humanoid,neutral,15,22,"30 ft., swim 30 ft.",15,10,13,7,12,7,,"Perception, Stealth, Survival",,Normal,Draconic,1/2,Hold Breath,Monster Manual,,Wizards of the Coast
Lizardfolk Shaman,Medium,humanoid,neutral,13,27,"30 ft., swim 30 ft.",15,10,13,10,15,8,,"Perception, Stealth, Survival",,Normal,Draconic,2,"Hold Breath, Normal Spellcasting",Monster Manual,,Wizards of the Coast
"Lycanthrope, Werebear",Medium,humanoid,neutral good,11,135,"40 ft., climb 30 ft.",19,10,17,11,12,12,,Perception,"Nonmagicalimmu, nonsilveredimmu",Normal,Common,5,"Shapechanger, Keen Smell",Monster Manual,,Wizards of the Coast
"Lycanthrope, Wereboar",Medium,humanoid,neutral evil,11,78,40 ft.,17,10,15,10,11,8,,Perception,"Nonmagicalimmu, nonsilveredimmu",Normal,Common,4,"Shapechanger, Charge, Relentless",Monster Manual,,Wizards of the Coast
"Lycanthrope, Wererat",Medium,humanoid,lawful evil,12,33,30 ft.,10,15,12,11,10,8,,"Perception, Stealth","Nonmagicalimmu, nonsilveredimmu",Darkvision 60,Common,2,"Shapechanger, Keen Smell",Monster Manual,,Wizards of the Coast
"Lycanthrope, Wereraven",Medium,"humanoid (human, shapechanger)",lawful good,12,31,30 ft.,10,15,11,13,15,14,,"Insight, Perception","Nonmagicalimmu, nonsilveredimmu",Normal,Common,2,"Shapechanger, Mimicry",Curse of Strahd,,Wizards of the Coast
"Lycanthrope, Weretiger",Medium,humanoid,neutral,12,120,40 ft.,17,15,16,10,13,11,,"Perception, Stealth","Nonmagicalimmu, nonsilveredimmu",Darkvision 60,Common,4,"Shapechanger, Keen Hearing, Keen Smell, Pounce",Monster Manual,,Wizards of the Coast
"Lycanthrope, Werewolf",Medium,humanoid,chotic evil,12,58,40 ft.,15,13,14,10,11,10,,"Perception, Stealth","Nonmagicalimmu, nonsilveredimmu",Normal,Common,3,"Shapechanger, Keen Hearing, Keen Smell",Monster Manual,,Wizards of the Coast
Magmin,Small,elemental,chaotic neutral,14,9,30 ft.,7,15,12,8,11,10,,,"Nonmagicalres, fireimmu",Darkvision 60,Ignan,1/2,"Death Burst, Ignited Illumination",Monster Manual,,Wizards of the Coast
Manticore,Large,monstrosity,lawful evil,14,68,"30 ft., fly 50 ft.",17,16,17,7,12,8,,,,Darkvision 60,Common,3,Tail Spike Regrowth,Monster Manual,,Wizards of the Coast
Mantrap,Large,plant,unaligned,12,45,5 ft.,15,14,12,1,10,2,,,"Blindedimmu, deafenedimmu, exhaustionimmu, proneimmu",Tremorsense 30,,1,"Attractive Pollen, False Appearance",Tomb of Annihilation,,Wizards of the Coast
Meazel,Medium,humanoid (meazel),neutral evil,13,35,30 ft.,8,17,9,14,13,10,,"Perception, Stealth",,Darkvision 120,Common,1,Shadow Stealth,Mordenkainen's Tome of Foes,,Wizards of the Coast
Medusa,Medium,monstrosity,lawful evil,15,127,30 ft.,10,15,16,12,13,15,,"Deception, Insight, Perception, Stealth",,Darkvision 60,Common,6,Petrifying Gaze,Monster Manual,,Wizards of the Coast
Meenlock,Small,fey,neutral evil,15,31,30 ft.,7,15,12,11,10,8,,"Perception, Stealth, Survival",Frightenedimmu,Darkvision 120,Telepathy 120,2,"Fear Aura, Light Sensitivity, Shadow Teleport",Volo's Guide to Monsters,,Wizards of the Coast
"Mephit, Dust",Small,elemental,neutral evil,12,17,"30 ft., fly 30 ft.",5,14,10,9,11,10,,"Perception, Stealth","Fireweak, poisonimmu, poisonedimmu",Darkvision 60,"Auran, Terran",1/2,"Death Burst, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Mephit, Ice",Small,elemental,neutral evil,11,21,"30 ft., fly 30 ft.",7,13,10,9,11,12,,"Perception, Stealth","Bludgeoningweak, fireweak, coldimmu, poisonimmu, poisonedimmu",Darkvision 60,"Aquan, Auran",1/2,"Death Burst, False Appearance, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Mephit, Magma",Small,elemental,neutral evil,11,22,"30 ft., fly 30 ft.",8,12,12,7,10,10,,Stealth,"Coldweak, fireimmu, poisonimmu",Darkvision 60,"Ignan, Terran",1/2,"Death Burst, False Appearance, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Mephit, Mud",Small,elemental,neutral evil,11,27,"20 ft., fly 20 ft., swim 20 ft.",8,12,12,9,11,7,,Stealth,"Poisonimmu, poisonedimmu",Darkivision 60,"Aquan, Terran",1/4,"Death Burst, False Appearance",Monster Manual,,Wizards of the Coast
"Mephit, Smoke",Small,elemental,neutral evil,12,22,"30 ft., fly 30 ft.",6,14,12,10,10,11,,"Perception, Stealth","Fireimmu, poisonimmu, poisonedimmu",Darkvision 60,"Auran, Ignan",1/4,"Death Burst, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Mephit, Steam",Small,elemental,neutral evil,10,21,"30 ft., fly 30 ft.",5,11,10,11,10,12,,,"Fireimmu, poisonimmu, poisonedimmu",Darkvision 60,"Aquan, Ignan",1/4,"Death Burst, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Merfolk,Medium,humanoid,neutral,11,11,"10 ft., swim 40 ft.",10,13,12,11,11,12,,Perception,,Normal,"Aquan, Common",1/8,Amphibious,Monster Manual,,Wizards of the Coast
Merrow,Large,monstrosity,chotic evil,13,45,"10 ft., swim 40 ft.",18,10,15,8,10,9,,"Death Burst, Innate Spellcasting",,Darkvision 60,"Abyssal, Aquan",2,Amphibious,Monster Manual,,Wizards of the Coast
Mimic,Medium,monstrosity,neutral,12,58,15 ft.,17,12,15,5,13,8,,Stealth,"Acidimmu, proneimmu",Darkvision 60,,2,"Shapechanger, Adhesive, False Appearance, Grappler",Monster Manual,,Wizards of the Coast
Mind Flayer,Medium,aberration,lawful evil,15,71,30 ft.,11,12,12,19,17,17,"Int, Wis, Cha","Arcana, Deception, Insight, Perception, Persuasion, Stealth",,"Darkvision 120,","Deep Speech, Undercommon, telepathy 120",7,"Magic Resistance, Innate Spellcasting (Psionics)",Monster Manual,,Wizards of the Coast
Mind Flayer Lich (Illithilich),Medium,undead,ANY EVIL,17,135,30 ft.,11,16,16,20,14,16,"Con, Int, Wis","Arcana, History, Insight, Perception","Coldres, lightningres, necroticres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyezdimmu, poisonedimmu",Truesight 120,"Common, Any, Deep Speech, Undercommon, telepathy 120",22,"Legendary Resistance, Rejuvenation, Lair, Normal Spellcasting, Turn Resistance, Magic Resistance, Innate Spellcasting (Psionics)",Volo's Guide to Monsters,,Wizards of the Coast
"Mind Flayer, Alhoon",Medium,undead,ANY EVIL,15,120,30 ft.,11,12,16,19,17,17,"Con, Int, Wis, Cha","Arcana, Deception, History, Insight, Perception, Stealth","Coldres, lightningres, necroticres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyezdimmu, poisonedimmu",Truesight 120,"Deep Speech, Undercommon, telepathy 120",10,"Magic Resistance, Innate Spellcasting (Psionics), Normal Spellcasting, Turn Resistance",Volo's Guide to Monsters,,Wizards of the Coast
"Mind Flayer, Elder Brain",Large,aberration,lawful evil,10,210,"5 ft., swim 10 ft.",15,10,20,21,19,24,"Int, Wis, Cha","Arcana, Deception, Insight, Intimidation, Persuasion",,Blindsight 120,"Common, Deep SPeech, Undercommon, telepathy 5 miles",14,"Creature Sense, Innate Spellcasting (Psionics), Lair, Legendary Resistance, magic Resistance, Telepathic Hub",Volo's Guide to Monsters,,Wizards of the Coast
"Mind Flayer, Ulitharid",Large,aberration,lawful evil,15,127,30 ft.,15,12,15,21,19,21,"Int, Wis, Cha","Arcana, Insight, Perception, Stealth",,Darkvision 120,"Deep Speech, Undercommon, telepathy 2 miles",9,"Creature Sense, Magic Resistance, Psionic Hub, Innate SPellcasting (Psionics)",Volo's Guide to Monsters,,Wizards of the Coast
Mindwitness,Large,aberration,lawful evil,15,75,fly 20 ft.,10,14,14,15,15,10,"Int, Wis",Perception,Proneimmu,Darkvision 120,"Deep Speech, Undercommon, telepathy 600",5,Telepathic Hub,Volo's Guide to Monsters,,Wizards of the Coast
Minotaur,Large,monstrosity,chotic evil,14,76,40 ft.,18,11,16,6,16,9,,Perception,,Darkvision 60,Abyssal,3,"Charge, Labyrinthine Recall, Reckless",Monster Manual,,Wizards of the Coast
"Misc. Creature, Ape",Medium,beast,unaligned,12,19,"30 ft., climb 30 ft.",16,14,14,6,12,7,,"Athletics, Perception",,Normal,,1/2,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Awakened Shrub",Small,plant,unaligned,9,10,20 ft.,3,8,11,10,10,6,,,"Fireweak, piercingres",Normal,Creator,0,False Appearance,Monster Manual,,Wizards of the Coast
"Misc. Creature, Awakened Tree",Huge,plant,unaligned,13,59,20 ft.,19,6,15,10,10,7,,,"Fireweak, bludgeoningres, piercingres",Normal,Creator,2,False Appearance,Monster Manual,,Wizards of the Coast
"Misc. Creature, Axe Beak",Large,beast,unaligned,11,19,50 ft.,14,12,12,2,10,5,,,,Normal,,1/4,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Baboon",Small,beast,unaligned,12,3,"30 ft., climb 30 ft.",8,14,11,4,12,6,,,,Normal,,0,Pack Tactics,Monster Manual,,Wizards of the Coast
"Misc. Creature, Badger",Tiny,beast,unaligned,10,3,"20 ft., burrow 5 ft.",4,11,12,2,12,5,,,,Darkvision 30,,0,Keen Smell,Monster Manual,,Wizards of the Coast
"Misc. Creature, Bat",Tiny,beast,unaligned,12,1,"5 ft., fly 30 ft.",2,15,8,2,12,4,,,,Blindsight 60,,0,"Echolocation, Keen Hearing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Black Bear",Medium,beast,unaligned,11,19,"40 ft., climb 30 ft.",15,10,14,2,12,7,,Perception,,Normal,,1/2,Keen Smell,Monster Manual,,Wizards of the Coast
"Misc. Creature, Blink Dog",Medium,fey,lawful good,13,22,40 ft.,12,17,12,10,13,11,,"Perception, Stealth",,Normal,"Own, Sylvan",1/4,"Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
"Misc. Creature, Blood Hawk",Small,beast,unaligned,12,7,"10 ft., fly 60 ft.",6,14,10,3,14,5,,Perception,,Normal,,1/8,"Keen Sight, Pack Tactics",Monster Manual,,Wizards of the Coast
"Misc. Creature, Boar",Medium,beast,unaligned,11,11,40 ft.,13,11,12,2,9,5,,,,Normal,,1/4,"Charge, Relentless",Monster Manual,,Wizards of the Coast
"Misc. Creature, Brown Bear",Large,beast,unaligned,11,34,"40 ft., climb 30 ft.",19,10,16,2,13,7,,Perception,,Normal,,1,Keen Smell,Monster Manual,,Wizards of the Coast
"Misc. Creature, Camel",Large,beast,unaligned,9,15,50 ft.,16,8,14,2,8,5,,,,Normal,,1/8,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Cat",Tiny,beast,unaligned,12,2,"40 ft., climb 30 ft.",3,15,10,3,12,7,,"Perception, Stealth",,Normal,,0,Keen Smell,Monster Manual,,Wizards of the Coast
"Misc. Creature, Constrictor Snake",large,beast,unaligned,12,13,"30 ft., swim 30 ft.",15,14,12,1,10,3,,,,Blindsight 10,,1/4,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Crab",Tiny,beast,unaligned,11,2,"20 ft., swim 20 ft.",2,11,10,1,8,2,,Stealth,,Blindsight 30,,0,Amphibious,Monster Manual,,Wizards of the Coast
"Misc. Creature, Crocodile",Large,beast,unaligned,12,19,"20 ft., swim 30 ft.",15,10,13,2,10,5,,Stealth,,Normal,,1/2,Hold Breath,Monster Manual,,Wizards of the Coast
"Misc. Creature, Death Dog",Medium,monstrosity,neutral evil,12,39,40 ft.,15,14,14,3,13,6,,"Perception, Stealth",,Darkvision 120,,1,Two-Headed,Monster Manual,,Wizards of the Coast
"Misc. Creature, Deer",Medium,beast,unaligned,13,4,50 ft.,11,16,11,2,14,5,,,,Normal,,0,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Dire Wolf",Large,beast,unaligned,14,37,50 ft.,17,15,15,3,12,7,,"Perception, Stealth",,Normal,,1,"Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,,Wizards of the Coast
"Misc. Creature, Draft Horse",Large,beast,unaligned,10,19,40 ft.,18,10,12,2,11,7,,,,Normal,,1/4,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Eagle",Small,beast,unaligned,12,3,"10 ft., fly 60 ft.",6,15,10,2,14,7,,Perception,,Normal,,0,Keen Sight,Monster Manual,,Wizards of the Coast
"Misc. Creature, Elephant",Huge,beast,unaligned,12,76,40 ft.,22,9,17,3,11,6,,,,Normal,,4,Trampling Charge,Monster Manual,,Wizards of the Coast
"Misc. Creature, Elk",Large,beast,unaligned,10,13,50 ft.,16,10,12,2,10,6,,,,Normal,,1/4,Charge,Monster Manual,,Wizards of the Coast
"Misc. Creature, Flying Snake",Tiny,beast,unaligned,14,5,"30 ft., fly 60 ft., swim 30 ft.",4,18,11,2,12,5,,,,Blindsight 10,,1/8,Flyby,Monster Manual,,Wizards of the Coast
"Misc. Creature, Frog",Tiny,beast,unaligned,11,1,"20 ft., swim 20 ft.",1,13,8,1,8,3,,"Perception, Stealth",,Darkvision 30,,0,"Amphibious, Standing Leap",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Ape",Huge,beast,unaligned,12,157,"40 ft., climb 40 ft.",23,14,18,7,12,7,,"Athletics, Perception",,Normal,,7,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Badger",Medium,beast,unaligned,10,13,"30 ft., burrow 10 ft.",13,10,15,2,12,5,,,,Darkvision 30,,1/4,Keen Smell,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Bat",Large,beast,unaligned,13,22,"10 ft., fly 60 ft.",15,16,11,2,12,6,,,,Blindsight 60,,1/4,"Echolocation, Keen Hearing",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Boar",Large,beast,unaligned,12,42,40 ft.,17,10,16,2,7,5,,,,Normal,,2,"Charge, Relentless",Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Centipede",small,beast,unaligned,13,4,30 ft.,5,14,12,1,7,3,,,,Blindsight 30,,1/4,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Constrictor Snake",Huge,beast,unaligned,12,60,"30 ft., swim 30 ft.",19,14,12,1,10,3,,Perception,,Blindsight 10,,2,,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Crab",Medium,beast,unaligned,15,13,"30 ft., swim 30 ft.",13,15,11,1,9,3,,Stealth,,Blindsight 30,,1/8,Amphibious,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Crocodile",Huge,beast,unaligned,14,85,"30 ft., swim 50 ft.",21,9,17,2,10,7,,Stealth,,Normal,,5,Hold Breath,Monster Manual,,Wizards of the Coast
"Misc. Creature, Giant Eagle",Large,beast,unaligned,13,26,"10 ft., fly 80 ft.",16,17,13,8,14,10,,Perception,,Normal,"Own, Common, Auran",1,Keen Sight,Monster Manual,,Wizards of the Coast
